epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,220.993,0.52177,4.92057,0.43461,0.36462,1.13943,0.99788,1,0.995,0.85618,0.99788,1,0.995,0.43979,0.69906,2.76457,0.4711,0.32963,1.14509,0.0010232,0.0010232,0.0010232
76,223.98,0.55089,4.78675,0.4182,0.36659,1.16495,0.99804,1,0.995,0.83313,0.96868,0.97059,0.95765,0.38835,0.78666,3.19081,0.46778,0.37448,1.26961,0.00101,0.00101,0.00101
77,226.929,0.55286,4.63732,0.43498,0.37176,1.16741,0.99824,1,0.995,0.89172,0.96888,0.97059,0.95147,0.50587,0.60555,2.98099,0.47918,0.29243,0.98795,0.0009968,0.0009968,0.0009968
78,229.968,0.55475,4.69834,0.42018,0.38841,1.17185,0.99817,1,0.995,0.85657,0.93945,0.94118,0.91703,0.41202,0.7077,2.31572,0.51176,0.32291,1.14475,0.0009836,0.0009836,0.0009836
79,232.901,0.51588,4.62506,0.40667,0.36594,1.14164,0.99804,1,0.995,0.82899,0.99804,1,0.995,0.56306,0.86421,2.64901,0.4476,0.38092,1.44881,0.0009704,0.0009704,0.0009704
80,235.823,0.52448,4.68845,0.42237,0.35942,1.14363,0.99796,1,0.995,0.85144,0.96861,0.97059,0.94882,0.51113,0.75793,2.50457,0.4855,0.35329,1.19886,0.0009572,0.0009572,0.0009572
81,238.747,0.52892,4.64783,0.42084,0.35801,1.15347,0.99808,1,0.995,0.88802,0.99808,1,0.995,0.36591,0.59219,2.93131,0.46766,0.34034,0.94593,0.000944,0.000944,0.000944
82,241.73,0.54312,4.36369,0.40529,0.36511,1.16334,0.99822,1,0.995,0.88416,0.96886,0.97059,0.95588,0.39846,0.5873,2.54456,0.46851,0.31753,1.00008,0.0009308,0.0009308,0.0009308
83,244.668,0.51216,4.11804,0.40856,0.36027,1.16103,0.99809,1,0.995,0.85671,0.96869,0.97059,0.96353,0.60897,0.73874,1.84408,0.46043,0.35079,1.14652,0.0009176,0.0009176,0.0009176
84,247.831,0.53266,4.17225,0.40284,0.3705,1.14705,0.99617,1,0.995,0.856,0.99617,1,0.995,0.51393,0.82745,2.1869,0.4459,0.36403,1.26567,0.0009044,0.0009044,0.0009044
85,250.946,0.53441,4.32384,0.39119,0.37079,1.13293,0.99775,1,0.995,0.87893,0.99775,1,0.995,0.52844,0.66924,2.00339,0.45778,0.41714,1.02774,0.0008912,0.0008912,0.0008912
86,254.002,0.55797,4.24115,0.39679,0.38122,1.17033,0.9976,1,0.995,0.85435,0.9976,1,0.995,0.54513,0.77281,2.52391,0.49846,0.3936,1.13347,0.000878,0.000878,0.000878
87,257.061,0.535,3.94094,0.39395,0.36832,1.14922,0.99737,1,0.995,0.84054,0.99737,1,0.995,0.50625,0.79005,2.43641,0.46262,0.36184,1.1942,0.0008648,0.0008648,0.0008648
88,260.114,0.52495,4.30966,0.39314,0.3796,1.16427,0.9975,1,0.995,0.83627,0.9975,1,0.995,0.57509,0.78101,1.96342,0.46892,0.38884,1.23073,0.0008516,0.0008516,0.0008516
89,263.197,0.48575,4.17564,0.41883,0.36494,1.12574,0.99676,1,0.995,0.84313,0.99676,1,0.995,0.6316,0.80768,1.83694,0.48825,0.46246,1.26033,0.0008384,0.0008384,0.0008384
90,266.427,0.52458,4.26364,0.40825,0.36329,1.14799,0.99661,1,0.995,0.84803,0.99661,1,0.995,0.50176,0.76283,2.95796,0.4717,0.48076,1.14636,0.0008252,0.0008252,0.0008252
91,269.514,0.49992,4.04077,0.40215,0.35188,1.14204,0.99649,1,0.995,0.85425,0.99649,1,0.995,0.55553,0.77352,2.39992,0.47272,0.48749,1.20055,0.000812,0.000812,0.000812
92,272.441,0.49382,4.06535,0.40468,0.36209,1.12155,0.99731,1,0.995,0.87875,0.99731,1,0.995,0.61543,0.68545,2.14282,0.45457,0.39808,1.0654,0.0007988,0.0007988,0.0007988
93,275.441,0.51382,4.12211,0.41085,0.35086,1.15079,0.99814,1,0.995,0.88533,0.99814,1,0.995,0.61252,0.69403,2.0258,0.48605,0.29858,1.08509,0.0007856,0.0007856,0.0007856
94,278.391,0.51611,3.95067,0.40695,0.35651,1.14209,0.99832,1,0.995,0.88984,0.99832,1,0.995,0.62341,0.65518,2.13803,0.48255,0.35077,1.062,0.0007724,0.0007724,0.0007724
